adm1_code,state,st,disease,cases1993,cases1994,cases1995,cases1996,cases1997,cases1998,cases1999,cases2000,cases2001,cases2002,cases2003,cases2004,cases2005,cases2006,cases2007,cases2008,cases2009,cases2010,cases2011,cases2012,cases2013
,USA,USA,Mumps,1692,1537,906,751,683,666,387,338,266,270,231,258,314,6584,800,454,1991,2612,404,229,584
USA-3537,Connecticut,CT,Mumps,8,12,4,1,1,3,0,3,0,1,1,0,1,0,2,0,1,11,0,0,4
,Maine,ME,Mumps,0,3,4,0,0,0,0,0,0,0,0,0,2,0,24,5,6,2,2,0,1
,Massachusetts,MA,Mumps,1,3,3,1,4,6,4,1,2,2,1,4,7,12,14,7,15,9,4,6,69
,New Hampshire,NH,Mumps,3,4,1,1,1,0,2,0,0,5,2,1,1,5,2,5,0,3,0,0,1
,Rhode Island,RI,Mumps,2,4,1,1,8,1,2,1,0,0,0,0,0,4,1,0,3,0,5,2,3
,Vermont,VT,Mumps,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,2,0,1,0,1
,New Jersey,NJ,Mumps,17,13,21,4,8,6,1,4,4,3,6,8,9,12,2,13,200,354,13,0,80
,New York,NY,Mumps,48,117,50,48,20,181,26,20,17,9,15,26,47,70,43,37,1453,1724,39,26,45
,Pennsylvania,PA,Mumps,70,58,63,44,38,20,19,7,14,22,9,13,8,117,23,21,15,69,3,4,21
USA-3546,Illinois,IL,Mumps,74,110,48,24,17,10,16,6,21,18,8,10,10,798,170,91,47,31,78,32,26
USA-3547,Indiana,IN,Mumps,8,7,10,8,15,7,5,2,3,2,3,2,1,10,3,2,2,4,3,4,4
,Michigan,MI,Mumps,80,59,60,48,28,33,10,7,5,7,8,2,24,84,28,22,11,20,9,10,6
,Ohio,OH,Mumps,74,77,54,52,35,29,21,9,1,11,7,11,8,45,20,23,6,24,16,6,12
,Wisconsin,WI,Mumps,23,14,0,3,4,3,4,3,2,1,2,1,5,842,51,13,9,5,4,8,2
USA-3529,Iowa,IA,Mumps,11,16,11,3,10,11,8,8,1,1,2,2,6,1964,27,24,15,38,8,6,3
USA-3530,Kansas,KS,Mumps,1,1,0,2,1,4,4,3,5,6,3,10,0,968,28,2,7,5,4,4,0
,Minnesota,MN,Mumps,2,5,11,7,7,13,1,7,6,5,1,4,0,180,28,9,7,8,2,7,3
,Missouri,MO,Mumps,46,44,25,10,0,4,1,5,4,4,5,3,4,170,12,8,15,10,11,5,8
,Nebraska,NE,Mumps,1,1,4,0,1,0,1,2,1,2,0,0,0,368,8,4,7,23,6,1,0
,North Dakota,ND,Mumps,6,4,1,2,0,2,1,1,0,2,0,1,3,14,3,2,0,0,4,0,1
,South Dakota,SD,Mumps,0,0,0,0,0,0,0,0,0,0,0,0,0,296,6,1,2,2,0,0,0
USA-3555,Delaware,DE,Mumps,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0
,District of Columbia,DC,Mumps,1,0,0,0,0,0,2,0,0,0,0,0,0,1,1,2,2,3,2,2,1
USA-3542,Florida,FL,Mumps,48,40,28,32,29,22,17,7,8,7,7,9,8,15,21,16,18,10,11,5,1
USA-3543,Georgia,GA,Mumps,20,18,11,9,11,2,4,2,9,2,3,2,2,6,0,3,0,5,5,3,10
,Maryland,MD,Mumps,82,65,41,37,1,0,6,9,8,9,5,4,10,48,19,11,8,12,2,0,87
,North Carolina,NC,Mumps,231,73,42,27,12,12,9,9,5,2,2,5,13,43,28,6,4,10,9,2,4
,South Carolina,SC,Mumps,17,8,13,7,11,8,6,11,7,3,5,0,1,10,2,0,2,4,3,1,2
,Virginia,VA,Mumps,40,48,28,19,21,13,11,11,8,5,1,11,2,117,27,9,9,13,13,7,109
,West Virginia,WV,Mumps,23,5,0,0,0,0,0,1,0,0,3,2,0,24,3,1,1,2,1,2,0
USA-3541,Alabama,AL,Mumps,22,12,5,6,9,9,11,4,0,3,4,4,6,47,14,5,6,6,2,2,4
USA-3548,Kentucky,KY,Mumps,0,0,0,0,3,1,0,1,3,3,0,0,0,1,0,0,1,1,0,2,2
,Mississippi,MS,Mumps,17,11,10,16,14,7,1,0,5,5,1,0,1,2,2,0,1,0,3,0,0
,Tennessee,TN,Mumps,19,9,5,1,8,2,0,2,1,2,5,4,3,11,4,2,5,3,1,2,7
USA-3528,Arkansas,AR,Mumps,10,7,7,1,3,13,0,3,0,0,1,0,2,8,4,5,4,5,4,1,3
,Louisiana,LA,Mumps,20,38,15,21,17,8,11,5,2,1,1,9,8,3,1,1,1,8,0,2,2
,Oklahoma,OK,Mumps,13,23,1,1,3,4,4,3,0,2,2,1,2,10,8,1,3,1,4,4,1
,Texas,TX,Mumps,231,234,43,44,75,42,35,27,14,15,18,23,25,58,21,20,40,121,68,15,13
USA-3520,Arizona,AZ,Mumps,19,99,2,1,34,6,8,6,2,1,1,7,1,40,10,5,10,5,0,3,1
USA-3522,Colorado,CO,Mumps,18,4,3,5,3,7,6,1,3,2,1,3,6,51,17,8,6,8,7,7,4
USA-3518,Idaho,ID,Mumps,6,10,4,0,6,7,4,1,2,1,1,3,0,7,7,2,3,1,2,0,0
,Montana,MT,Mumps,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
,Nevada,NV,Mumps,27,18,12,15,9,14,5,6,4,6,5,1,3,5,12,6,3,1,0,0,5
,New Mexico,NM,Mumps,NN,NN,NN,NN,NN,NN,NN,1,2,1,1,0,0,3,0,0,1,2,1,0,1
,Utah,UT,Mumps,6,28,11,3,8,5,4,7,1,7,5,2,7,5,1,4,4,3,0,3,2
